Rental ID,Customer Name,Country,Rental Start Date,Rental End Date,Car Type,Rental Source,Total Cost,Payment Status,Cancellation Status,Revenue
R04049,Cynthia Johnson,Gambia,2023-09-21 00:00:00,2023-09-21 00:00:00,Hatchback,In-Store,444.49,Pending,Cancelled,0
R57520,Sarah Wade,Saudi Arabia,2023-05-28 00:00:00,2023-05-30 00:00:00,Hatchback,Online,63.23,Pending,Not Cancelled,130.23
R67565,Christine Martin,British Virgin Islands,2023-03-17 00:00:00,2023-03-23 00:00:00,Convertible,Online,205.67,Pending,Cancelled,0
R70721,Jack Davis,Aruba,2023-10-31 00:00:00,2023-11-05 00:00:00,Convertible,Third-party,320.99,Pending,Cancelled,0
R50199,Jennifer Molina,Ireland,2023-07-24 00:00:00,2023-07-25 00:00:00,Hatchback,Third-party,262.42,Paid,Not Cancelled,183.42
R00509,Brandon Keller,Sierra Leone,2023-08-30 00:00:00,2023-09-01 00:00:00,Sedan,In-Store,174.59,Pending,Not Cancelled,137.59
R68113,Lisa Hale,Chad,2023-03-09 00:00:00,2023-03-09 00:00:00,Coupe,In-Store,193.61,Paid,Cancelled,0
R06415,Cory Graham,Bhutan,2023-12-25 00:00:00,2023-12-31 00:00:00,Sedan,Third-party,92.24,Paid,Not Cancelled,78.24
R23077,Matthew Jones,Egypt,2023-08-15 00:00:00,2023-08-17 00:00:00,Coupe,In-Store,427.32,Pending,Cancelled,0
R91453,Sherri Michael,Reunion,2023-01-20 00:00:00,2023-01-21 00:00:00,Convertible,Third-party,431.55,Pending,Not Cancelled,111.55
R19772,Brandon Mullins,Saint Vincent and the Grenadines,2023-04-07 00:00:00,2023-04-08 00:00:00,Convertible,In-Store,368.96,Pending,Not Cancelled,591.96
R16717,Roger Chapman,Svalbard & Jan Mayen Islands,2023-05-24 00:00:00,2023-05-25 00:00:00,Sedan,Online,214.01,Paid,Cancelled,0
R46956,Christina Bullock,Antigua and Barbuda,2023-06-11 00:00:00,2023-06-11 00:00:00,SUV,Online,446.94,Paid,Not Cancelled,-28.06
R14219,Joshua Richards,Liberia,2023-09-23 00:00:00,2023-09-27 00:00:00,Convertible,In-Store,449.04,Paid,Cancelled,0
R64204,Samuel Sandoval,Slovakia (Slovak Republic),2023-05-15 00:00:00,2023-05-20 00:00:00,Hatchback,Online,296.11,Paid,Not Cancelled,-257.89
R17085,Alicia Martinez,Qatar,2023-05-20 00:00:00,2023-05-22 00:00:00,SUV,Third-party,193.99,Paid,Not Cancelled,233.99
R37051,Brandy Taylor,Pakistan,2023-12-09 00:00:00,2023-12-14 00:00:00,Hatchback,In-Store,235.45,Pending,Not Cancelled,-424.55
R82769,Eric Mason,Saudi Arabia,2023-05-04 00:00:00,2023-05-09 00:00:00,SUV,In-Store,205.78,Pending,Cancelled,0
R24585,Karen Turner,Northern Mariana Islands,2023-01-04 00:00:00,2023-01-05 00:00:00,SUV,Third-party,50.62,Pending,Cancelled,0
R53878,Mark Reynolds,Fiji,2023-05-08 00:00:00,2023-05-12 00:00:00,Coupe,In-Store,370.22,Pending,Not Cancelled,-29.78
R61961,Johnathan Thompson,Israel,2023-07-26 00:00:00,2023-07-31 00:00:00,Coupe,Online,496.88,Pending,Cancelled,0
R40581,Juan Love,Singapore,2023-10-29 00:00:00,2023-11-04 00:00:00,Hatchback,Online,453.43,Pending,Not Cancelled,296.43
R21042,Mark Gallagher,Mozambique,2023-02-01 00:00:00,2023-02-05 00:00:00,SUV,Online,104.42,Pending,Cancelled,0
R55796,Daisy Maddox,Estonia,2023-08-12 00:00:00,2023-08-13 00:00:00,Coupe,In-Store,98.17,Paid,Cancelled,0
R66317,Richard Mathis,Iceland,2023-12-22 00:00:00,2023-12-25 00:00:00,Hatchback,In-Store,61.59,Paid,Cancelled,0
R50765,Leonard Rodriguez,Turkmenistan,2023-03-14 00:00:00,2023-03-19 00:00:00,Coupe,Third-party,74.77,Paid,Cancelled,0
R54813,Noah Parker,Mayotte,2023-04-09 00:00:00,2023-04-15 00:00:00,Coupe,Third-party,432.14,Paid,Cancelled,0
R38669,Lauren Chambers,Svalbard & Jan Mayen Islands,2023-03-30 00:00:00,2023-03-30 00:00:00,Convertible,Third-party,98.8,Pending,Not Cancelled,414.8
R23090,Steve Deleon,Cuba,2023-11-06 00:00:00,2023-11-08 00:00:00,Sedan,Online,142.05,Paid,Not Cancelled,-148.95
R84359,Malik Maxwell,Egypt,2023-11-27 00:00:00,2023-12-01 00:00:00,Convertible,Online,499.27,Pending,Not Cancelled,953.27
R08839,Katherine Mendoza,Timor-Leste,2023-03-28 00:00:00,2023-04-02 00:00:00,Convertible,Online,60.47,Paid,Not Cancelled,404.47
